App id,Name of the application,Display name of the application,Genre of the app,Age of the app,current locale of the sheet,"comma separeted locale names, i.e en_US, etc",s3 link for the listing background,Integer number which will decide the priority of the display,Integer number which will decide the priority of the display of max talents,Seller Name,Screenshots folder link,Screenshots - comma separated image names,Icon folder link,Icon image name,Description,Status of the app,True / False value to show if CTA is applicable,Text to show on top right of detail page,Max Card folder link,Max card image name,Release Date,Split of Max content,Internet / Offline,What's New within the app?,Live
26,Start Smart,Start Smart,"Story, STEM",5-6 years,en_US,en_US,https://storage.googleapis.com/miko3-parental/app_talent_cards/start_smart_card.png,10,12,Kidloland,https://storage.googleapis.com/miko3-parental/start_smart/,"Screenshot_1.jpg, Screenshot_2.jpg, Screenshot_3.jpg, Screenshot_4.jpg, Screenshot_5.jpg",https://storage.googleapis.com/miko3-parental/app_icons/,start_smart_icon.png,"Start smart is a new-age classroom for beginners, with colorful images, animations, sounds, music & voice narration! This app offers over 275 educational games, covers English, Math, Science & Geography in a super interesting & fun way and lays the perfect learning foundation for your little one!",TRUE,TRUE,Full Access with Miko Max,https://storage.googleapis.com/miko3-parental/app_max_cards/,start_smart_max.png,nov'21,total topics = 25 & 1 topic has roughly 10 games. 1 or 2 games free in all topics.,Offline,,Live
27,Brain Buzz,Brain Buzz,"Story, STEM",7-8 years,en_US,en_US,https://storage.googleapis.com/miko3-parental/app_talent_cards/brain_buzz_card.png,7,2,Kidloland,https://storage.googleapis.com/miko3-parental/brain_buzz/,"Screenshot_1.png, Screenshot_2.png, Screenshot_3.png, Screenshot_4.png, Screenshot_5.png",https://storage.googleapis.com/miko3-parental/app_icons/,brain_buzz_icon.jpg,"Enter a classroom filled with colorful images, animations, sounds, music & voice narration! Brain Buzz is designed to bring out the inner Einstein out of your little one. Over 290 educational games, covering classroom subjects such as English, Math, Science & Geography will make learning super interesting & fun!",TRUE,TRUE,Full Access with Miko Max,https://storage.googleapis.com/miko3-parental/app_max_cards/,brain_buzz_max.png,nov'21,total topics = 25 & 1 topic has roughly 10 games. 1 or 2 games free in all topics.,Offline,,Live
28,Coding School,Coding School,"Puzzle, Game, STEM",5-10 years,en_US,en_US,https://storage.googleapis.com/miko3-parental/app_talent_cards/coding_school_card.png,31,7,Kidloland,https://storage.googleapis.com/miko3-parental/coding_school/,"Screenshot_1.png, Screenshot_2.png, Screenshot_3.png, Screenshot_4.png, Screenshot_5.png",https://storage.googleapis.com/miko3-parental/app_icons/,coding_school_icon.png,"We are living in a highly technological world! Introduce your kids to the world of coding with our Google award winning app! With over 1000 levels, this app teaches the basics of programming through creative & interesting games to ensure fun & effective learning!",TRUE,TRUE,Full Access with Miko Max,https://storage.googleapis.com/miko3-parental/app_max_cards/,coding_school_max.png,nov'21,total topics = 6 & 1 topic has roughly 20 games. 1 or 2 games free in every topic,Offline,,Live
29,Coloring Club,Coloring Club,"Miscellaneous, Creative Arts",5-8 years,en_US,en_US,https://storage.googleapis.com/miko3-parental/app_talent_cards/coloring_club_card.png,16,4,Kidloland,https://storage.googleapis.com/miko3-parental/coloring_club/,"Screenshot_1.jpg, Screenshot_2.jpg, Screenshot_3.jpg, Screenshot_4.jpg, Screenshot_5.jpg, Screenshot_6.jpg",https://storage.googleapis.com/miko3-parental/app_icons/,coloring_club_icon.png,"An artist lives a 1000 lives! Painting can be a very soothing & calming activity for kids! This app has 700 pages with coloring themes such as magic, monsters, glitter, animation & many more!",TRUE,TRUE,Full Access with Miko Max,https://storage.googleapis.com/miko3-parental/app_max_cards/,coloring_club_max.png,nov'21,"40 percent coloring free , 60 percent max",Offline,,Live
30,Cosmic Kids Yoga,Cosmic Kids Yoga,"Video, Wellness",5-10 years,en_US,en_US,https://storage.googleapis.com/miko3-parental/app_talent_cards/cosmic_kids_card.png,22,8,Cosmic Kids,https://storage.googleapis.com/miko3-parental/cosmic_kids/,"cosmic_screenshot1.png, cosmic_screenshot2.png, cosmic_screenshot3.png, cosmic_screenshot4.png, cosmic_screenshot5.png",https://storage.googleapis.com/miko3-parental/app_icons/,cosmic_Kids_icon.png,"Inculcate great habits in your kids such as practicing yoga & mindfulness! This app offers 28 different yoga videos with simple guided instructions for a healthier mind, body & soul.",TRUE,TRUE,Full Access with Miko Max,https://storage.googleapis.com/miko3-parental/app_max_cards/,cosmic_kids_yoga_max.jpg,dec'21,4 out of 30 videos are free. 26 are max,Internet needed to play,,Live
31,Dreamy Kid,Dreamy Kid,"Video, Wellness",5-10 years,en_US,en_US,https://storage.googleapis.com/miko3-parental/app_talent_cards/dreamy_kid_card.png,11,14,DreamyKid,https://storage.googleapis.com/miko3-parental/dreamy_kid/,"dreamy_kid.png, dreamy_kid1.png, dreamy_kid2.png, dreamy_kid3.png, dreamy_kid4.png, dreamy_kid5.png",https://storage.googleapis.com/miko3-parental/app_icons/,dreamykid_icon.png,"Kids have a lot of energy! Help them channelise it better in a productive way through our guided meditation routine! Not only does this app help center your kids in a cool & calm fashion, it also rids kids of stress, fatigue, anxiety & other draining emotions!",FALSE,TRUE,Full Access with Miko Max,https://storage.googleapis.com/miko3-parental/app_max_cards/,DreamyKid_max.png,dec'21,"4 meditation free, 26 max",Internet needed to play,,Live
32,Out of this word,Out of this word,"Quiz, Game, Language",7-10 years,en_US,en_US,https://storage.googleapis.com/miko3-parental/app_talent_cards/OOTW_card.png,18,1,Out of this word,https://storage.googleapis.com/miko3-parental/out_of_this_word/,"OOTW_screenshot1.png, OOTW_screenshot2.png, OOTW_screenshot3.png, OOTW_screenshot4.png, OOTW_screenshot5.png, OOTW_screenshot6.png",https://storage.googleapis.com/miko3-parental/app_icons/,OOTW_icon.png,"Teach your kids popular idioms & phrases through our two adorable, animated teachers, Max & Moon! This app offers over 70 videos & 100 games that help kids in understanding the origin & meaning of world famous idioms! Isn't this a total 'Win Hands Down'?!",TRUE,TRUE,Full Access with Miko Max,https://storage.googleapis.com/miko3-parental/app_max_cards/,ootw_max.png,jan'22,"3 free, 29 max",Internet needed to play,,Live
33,Oomee Pinata,Oomee Pinata,"Miscellaneous, Game, Fun",5-6 years,en_US,en_US,https://storage.googleapis.com/miko3-parental/app_talent_cards/oomee_pinata_card.png,1,13,Da Vinci Kids,https://storage.googleapis.com/miko3-parental/oomee_pinata/,"oomee_pinata_ss1.png, oomee_pinata_ss2.png, oomee_pinata_ss3.png",https://storage.googleapis.com/miko3-parental/app_icons/,oomee_pinata_icon.png,Don't have a real big-sized pinata lying around? Don't worry! Just have your kids tap our virtual fruit pinata for some fresh fun! Yum!,TRUE,TRUE,Only with Miko Max,https://storage.googleapis.com/miko3-parental/app_max_cards/,oomee_pinata_max.png,dec'21,100% max,Internet needed to play,,Live
34,Christmas Magic,Christmas Magic,"Miscellaneous, Game, Fun",5-10 years,en_US,en_US,https://storage.googleapis.com/miko3-parental/app_talent_cards/christmas_magic_card.png,3,,Miko,https://storage.googleapis.com/miko3-parental/christmas_magic/,"CM_screenshot1.png, CM_screenshot2.png, CM_screenshot3.png, CM_screenshot4.png, CM_screenshot5.png",https://storage.googleapis.com/miko3-parental/app_icons/,christrmas_magic_icon.png,"'You better not pout, I am telling you why, Santa Claus is coming to town!' Let your kids sing along to classic christmas carols & play fun games to receive gifts from Santa! Let's spread the holiday cheer this season!",TRUE,FALSE,NA,,,dec'21,Free,,,Live
35,Wake the Santa,Wake the Santa,"Puzzle, Game, Logic",7-10 years,en_US,en_US,https://storage.googleapis.com/miko3-parental/app_talent_cards/wake_the_santa_card.png,4,12,Da Vinci Kids,https://storage.googleapis.com/miko3-parental/wake_the_santa/,"wake_the_santa_ss_01.png, wake_the_santa_ss_02.png, wake_the_santa_ss_03.png, wake_the_santa_ss_04.png",https://storage.googleapis.com/miko3-parental/app_icons/,wake_the_santa_icon.png,Wakey Wakey! Christmas is a busy season for Santa. Ask your kids to wake Santa up by throwing snowflakes on Santa's head! Rise & Shine Santa! Ho Ho Ho!,TRUE,TRUE,Only with Miko Max,https://storage.googleapis.com/miko3-parental/app_max_cards/,wake_the_santa_max.png,dec'21,100% max,internet needed to play,,Live
